nflweek,rotat,date,kickoff,side,opp,awayhome,,,,,
5,Vikings5,10/5/2025,9:30 AM,Vikings,Browns,away,,,,,
5,Texans5,10/5/2025,1:00 PM,Texans,Ravens,away,,,,,
5,Dolphins5,10/5/2025,1:00 PM,Dolphins,Panthers,away,,,,,
5,Raiders5,10/5/2025,1:00 PM,Raiders,Colts,away,,,,,
5,Giants5,10/5/2025,1:00 PM,Giants,Saints,away,,,,,
5,Cowboys5,10/5/2025,1:00 PM,Cowboys,Jets,away,,,,,
5,Broncos5,10/5/2025,1:00 PM,Broncos,Eagles,away,,,,,
5,Titans5,10/5/2025,4:05 PM,Titans,Cardinals,away,,,,,
5,Buccaneers5,10/5/2025,4:05 PM,Buccaneers,Seahawks,away,,,,,
5,Lions5,10/5/2025,4:25 PM,Lions,Bengals,away,,,,,
5,Commanders5,10/5/2025,4:25 PM,Commanders,Chargers,away,,,,,
5,Patriots5,10/5/2025,8:20 PM,Patriots,Bills,away,,,,,
5,Chiefs5,10/6/2025,8:15 PM,Chiefs,Jaguars,away,,,,,
6,Eagles6,10/9/2025,8:15 PM,Eagles,Giants,away,,,,,
6,Broncos6,10/12/2025,9:30 AM,Broncos,Jets,away,,,,,
6,Rams6,10/12/2025,1:00 PM,Rams,Ravens,away,,,,,
6,Cowboys6,10/12/2025,1:00 PM,Cowboys,Panthers,away,,,,,
6,Cardinals6,10/12/2025,1:00 PM,Cardinals,Colts,away,,,,,
6,Seahawks6,10/12/2025,1:00 PM,Seahawks,Jaguars,away,,,,,
6,Chargers6,10/12/2025,1:00 PM,Chargers,Dolphins,away,,,,,
6,Browns6,10/12/2025,1:00 PM,Browns,Steelers,away,,,,,
